Dataset,v2 us/sample,Binarize us,Score us,Backend
WUSTL,0.805,0.319,0.507,table_neon
NSLKDD,1.305,0.328,0.932,delta_table_neon
TonIoT,1.319,0.151,1.108,delta_table_neon
MedSec,1.407,0.393,0.998,delta_table_neon
