Dataset,Attempt 15 us,Attempt 17 us,Speedup,Correct
WUSTL,0.609,0.574,1.06x,yes
NSLKDD,0.902,0.883,1.02x,yes
TonIoT,0.813,0.708,1.15x,yes
MedSec,0.964,0.855,1.13x,yes
