Dataset,Attempt 1 C us,Attempt 2 C us,Change
WUSTL,0.927,0.936,+1.0%
NSLKDD,2.194,2.441,+11.3%
TonIoT,1.924,1.953,+1.5%
MedSec,2.291,2.267,-1.0%
